ticker,date,open,high,low,close
YDDL,2025-10-09,5.75,6.0,4.6,5.42
YDDL,2025-10-10,8.15,8.89,6.4068,6.56
YDDL,2025-10-13,5.5,5.5,4.75,4.87
YDDL,2025-10-14,4.92,6.5,4.8701,5.71
YDDL,2025-10-15,5.7,5.8,5.0521,5.24
YDDL,2025-10-16,5.11,5.25,4.69,4.82
YDDL,2025-10-17,4.76,5.0993,4.73,5.04
YDDL,2025-10-20,4.8,4.81,4.0,4.8
YDDL,2025-10-21,4.42,4.825,4.42,4.75
YDDL,2025-10-22,4.58,5.22,4.58,5.14
YDDL,2025-10-23,5.19,5.24,4.8385,5.1
YDDL,2025-10-24,4.93,5.39,4.93,5.19
YDDL,2025-10-27,5.0461,5.08,4.81,5.08
YDDL,2025-10-28,4.9,5.49,4.9,5.36
YDDL,2025-10-29,5.34,5.35,4.4,4.42
YDDL,2025-10-30,4.56,4.6,4.41,4.46
YDDL,2025-10-31,4.41,4.75,4.41,4.54
YDDL,2025-11-03,4.5,4.5,4.255,4.3
YDDL,2025-11-04,4.18,4.51,4.0,4.05
YDDL,2025-11-05,4.15,4.775,4.12,4.61
YDDL,2025-11-06,4.5,4.5,4.12,4.32
YDDL,2025-11-07,4.36,4.4235,4.02,4.12
YDDL,2025-11-10,4.25,4.73,4.25,4.52
YDDL,2025-11-11,4.29,4.4,4.11,4.2
YDDL,2025-11-12,4.39,4.39,3.74,3.85
YDDL,2025-11-13,4.19,4.2,3.64,3.6599
YDDL,2025-11-14,3.73,4.0,3.61,3.96
YDDL,2025-11-17,3.94,5.4,3.94,5.2001
YDDL,2025-11-18,5.09,5.2799,5.01,5.14
YDDL,2025-11-19,5.07,5.34,5.07,5.33
YDDL,2025-11-20,5.4,5.73,5.15,5.29
YDDL,2025-11-21,5.15,5.37,4.87,4.96
YDDL,2025-11-24,5.01,5.4,5.01,5.04
YDDL,2025-11-25,5.27,5.27,4.845,4.92
YDDL,2025-11-26,5.19,5.37,5.0,5.06
YDDL,2025-11-28,5.18,5.42,5.0,5.0
YDDL,2025-12-01,5.0,5.36,5.0,5.28
YDDL,2025-12-02,5.31,5.96,5.29,5.57
YDDL,2025-12-03,5.63,5.64,5.05,5.245
YDDL,2025-12-04,5.21,5.35,5.05,5.07
YDDL,2025-12-05,5.15,5.4,4.85,5.06
YDDL,2025-12-08,5.06,5.12,5.01,5.02
YDDL,2025-12-09,5.078,5.24,5.0551,5.14
YDDL,2025-12-10,5.1,5.12,4.61,4.61
YDDL,2025-12-11,4.79,5.11,4.76,5.07
YDDL,2025-12-12,5.0,5.1,4.87,5.0
YDDL,2025-12-15,5.01,5.05,4.7919,4.95
YDDL,2025-12-16,4.83,5.045,4.83,4.86
YDDL,2025-12-17,4.9,5.18,4.9,5.05
YDDL,2025-12-18,5.16,5.2,5.05,5.05
YDDL,2025-12-19,5.08,6.093,5.08,5.94
YDDL,2025-12-22,5.77,5.91,5.53,5.69
YDDL,2025-12-23,5.77,5.77,5.5,5.51
YDDL,2025-12-24,5.47,5.575,5.4246,5.5
YDDL,2025-12-26,5.44,5.62,5.38,5.38
YDDL,2025-12-29,5.32,5.38,5.18,5.18
YDDL,2025-12-30,5.18,5.345,5.1,5.28
YDDL,2025-12-31,5.12,5.38,5.11,5.19
YDDL,2026-01-02,5.31,5.5956,5.29,5.49
YDDL,2026-01-05,5.51,5.55,5.23,5.52
YDDL,2026-01-06,5.3,5.5,5.1,5.5
YDDL,2026-01-07,5.21,5.52,4.58,5.52
YDDL,2026-01-08,5.65,5.65,5.4,5.43
YDDL,2026-01-09,5.48,5.605,5.38,5.48
YDDL,2026-01-12,5.41,5.61,5.225,5.49
YDDL,2026-01-13,5.64,5.64,5.26,5.5
YDDL,2026-01-14,5.42,5.58,5.37,5.39
YDDL,2026-01-15,5.315,5.61,5.26,5.4
YDDL,2026-01-16,5.37,5.45,5.221,5.23
YDDL,2026-01-20,5.3,5.84,5.3,5.6
YDDL,2026-01-21,5.79,6.49,5.79,6.46
YDDL,2026-01-22,7.02,7.28,6.55,7.21
YDDL,2026-01-23,6.88,7.38,6.6,7.32
YDDL,2026-01-26,7.21,7.256,6.24,6.38
YDDL,2026-01-27,6.5,6.68,6.01,6.32
YDDL,2026-01-28,6.6471,6.75,6.4308,6.75
YDDL,2026-01-29,6.64,6.9,6.45,6.49
YDDL,2026-01-30,6.6,6.7197,6.2,6.35
YDDL,2026-02-02,6.35,6.35,6.0,6.14
