ticker,date,open,high,low,close
STKE,2025-09-09,13.05,13.6364,7.13,7.6
STKE,2025-09-10,8.51,9.15,7.5,7.72
STKE,2025-09-11,7.75,7.75,6.79005,6.855
STKE,2025-09-12,7.25,8.01,6.84,7.37
STKE,2025-09-15,7.5,7.75,6.5,6.6
STKE,2025-09-16,6.65,6.705,6.26,6.31
STKE,2025-09-17,6.39,6.449,5.95,6.25
STKE,2025-09-18,6.43,6.66,6.2,6.45
STKE,2025-09-19,6.385,6.5,6.07,6.12
STKE,2025-09-22,5.68,6.04,5.6,5.83
STKE,2025-09-23,5.8,6.11,5.6601,5.7
STKE,2025-09-24,5.285,5.41,4.91,5.01
STKE,2025-09-25,4.84,5.14,4.58,4.89
STKE,2025-09-26,4.99,4.9999,4.69,4.945
STKE,2025-09-29,5.1,5.2,4.8052,4.84
STKE,2025-09-30,4.76,4.76,4.27,4.4
STKE,2025-10-01,4.25,4.5,4.13,4.13
STKE,2025-10-02,4.24,4.7,4.1,4.52
STKE,2025-10-03,4.68,4.71,4.24,4.25
STKE,2025-10-06,4.46,4.59,4.3,4.45
STKE,2025-10-07,4.45,4.55,4.15,4.26
STKE,2025-10-08,4.41,4.47,4.27,4.32
STKE,2025-10-09,4.33,4.399,4.1,4.17
STKE,2025-10-10,4.08,4.2188,3.86,3.91
STKE,2025-10-13,3.95,4.12,3.64,3.89
STKE,2025-10-14,3.75,3.75,3.31,3.69
STKE,2025-10-15,3.7,3.74,3.4422,3.47
STKE,2025-10-16,3.49,3.59,3.1932,3.21
STKE,2025-10-17,3.15,3.29,3.06,3.09
STKE,2025-10-20,3.54,3.78,3.3,3.65
STKE,2025-10-21,3.57,3.9,3.35,3.63
STKE,2025-10-22,3.57,3.59,3.3,3.41
STKE,2025-10-23,3.4,3.74,3.4,3.54
STKE,2025-10-24,3.72,3.72,3.53,3.6
STKE,2025-10-27,3.75,3.92,3.68,3.91
STKE,2025-10-28,3.83,3.95,3.7,3.75
STKE,2025-10-29,3.69,3.75,3.61,3.66
STKE,2025-10-30,3.59,3.6,3.45,3.45
STKE,2025-10-31,3.46,3.5492,3.39,3.49
STKE,2025-11-03,3.4,3.4554,3.105,3.12
STKE,2025-11-04,3.02,3.0201,2.82,2.85
STKE,2025-11-05,2.91,3.14,2.86,3.05
STKE,2025-11-06,3.01,3.01,2.76,2.8
STKE,2025-11-07,2.77,3.09,2.7112,3.02
STKE,2025-11-10,3.13,3.15,2.97,3.08
STKE,2025-11-11,3.01,3.08,2.95,3.01
STKE,2025-11-12,3.01,3.12,2.95,3.01
STKE,2025-11-13,3.01,3.02,2.545,2.56
STKE,2025-11-14,2.39,2.53,2.38,2.4
STKE,2025-11-17,2.43,2.4787,2.1001,2.16
STKE,2025-11-18,2.18,2.47,2.16,2.43
STKE,2025-11-19,2.47,2.58,2.2,2.25
STKE,2025-11-20,2.4,2.5,2.1,2.1
STKE,2025-11-21,2.13,2.315,2.07,2.22
STKE,2025-11-24,2.32,2.58,2.17,2.43
STKE,2025-11-25,2.33,2.48,2.3,2.36
STKE,2025-11-26,2.39,2.6306,2.35,2.6
STKE,2025-11-28,2.66,2.94,2.66,2.76
STKE,2025-12-01,2.67,2.76,2.54,2.6
STKE,2025-12-02,2.61,2.85,2.61,2.68
STKE,2025-12-03,2.68,2.78,2.6181,2.65
STKE,2025-12-04,2.7,2.7313,2.5501,2.69
STKE,2025-12-05,2.62,2.65,2.55,2.63
STKE,2025-12-08,2.6,2.65,2.52,2.56
STKE,2025-12-09,2.55,2.6699,2.52,2.6
STKE,2025-12-10,2.6,2.68,2.45,2.47
STKE,2025-12-11,2.35,2.53,2.27,2.3
STKE,2025-12-12,2.34,2.345,2.25,2.29
STKE,2025-12-15,2.27,2.27,2.07,2.1
STKE,2025-12-16,2.08,2.11,2.0,2.08
STKE,2025-12-17,2.09,2.12,1.8001,1.89
STKE,2025-12-18,1.96,2.0,1.8201,1.85
STKE,2025-12-19,1.9,2.0,1.855,1.96
STKE,2025-12-22,1.91,1.95,1.77,1.86
STKE,2025-12-23,1.85,1.8699,1.72,1.78
STKE,2025-12-24,1.78,1.83,1.67,1.79
STKE,2025-12-26,1.77,1.8,1.6501,1.69
STKE,2025-12-29,1.65,1.81,1.6201,1.69
STKE,2025-12-30,1.66,1.75,1.55,1.56
STKE,2025-12-31,1.56,1.65,1.5,1.53
STKE,2026-01-02,1.63,1.8,1.54,1.78
STKE,2026-01-05,1.85,1.9999,1.8101,1.98
STKE,2026-01-06,1.99,2.45,1.88,2.4
STKE,2026-01-07,2.19,2.19,2.1301,2.19
STKE,2026-01-08,2.15,2.34,2.08,2.22
STKE,2026-01-09,2.242,2.34,2.16,2.25
STKE,2026-01-12,2.24,2.57,2.21,2.52
STKE,2026-01-13,2.55,2.8,2.5,2.6
STKE,2026-01-14,2.65,2.66,2.4,2.475
STKE,2026-01-15,2.57,2.57,2.2605,2.3
STKE,2026-01-16,2.27,2.4,2.09,2.09
STKE,2026-01-20,1.97,2.1,1.86,1.9
STKE,2026-01-21,1.98,2.1,1.8701,2.015
STKE,2026-01-22,2.06,2.06,1.87,1.98
STKE,2026-01-23,1.91,1.96,1.87,1.91
STKE,2026-01-26,1.9,1.9963,1.78,1.87
STKE,2026-01-27,1.9,1.9,1.695,1.76
STKE,2026-01-28,1.81,1.82,1.67,1.6893
STKE,2026-01-29,1.71,1.79,1.53,1.57
STKE,2026-01-30,1.57,1.71,1.52,1.67
STKE,2026-02-02,1.52,1.63,1.5,1.58
