ticker,date,open,high,low,close
FCHL,2025-09-04,3.9,4.56,3.9,4.25
FCHL,2025-09-05,4.3,5.0495,4.3,4.6
FCHL,2025-09-08,4.62,4.94,4.62,4.89
FCHL,2025-09-09,4.9,4.92,4.43,4.55
FCHL,2025-09-10,4.49,4.75,4.16,4.16
FCHL,2025-09-11,4.5035,5.35,4.5035,5.24
FCHL,2025-09-12,5.21,5.65,5.21,5.54
FCHL,2025-09-15,5.5,5.6499,5.1,5.19
FCHL,2025-09-16,5.27,6.18,5.27,6.17
FCHL,2025-09-17,6.33,6.85,5.61,6.62
FCHL,2025-09-18,6.53,6.9,6.1,6.87
FCHL,2025-09-19,6.8,7.3,6.32,7.3
FCHL,2025-09-22,6.83,7.2,6.18,6.95
FCHL,2025-09-23,7.35,7.37,1.02,1.07
FCHL,2025-09-24,0.9731,1.03,0.6666,0.6955
FCHL,2025-09-25,0.6722,0.7492,0.6538,0.7
FCHL,2025-09-26,0.67,0.69,0.6155,0.645
FCHL,2025-09-29,0.6381,0.6532,0.6,0.6
FCHL,2025-09-30,0.618,0.62,0.561,0.5617
FCHL,2025-10-01,0.5666,0.64,0.5666,0.6268
FCHL,2025-10-02,0.6136,0.6248,0.6096,0.623
FCHL,2025-10-03,0.619,0.63,0.611,0.627
FCHL,2025-10-06,0.627,0.63,0.6,0.607
FCHL,2025-10-07,0.6,0.6195,0.5546,0.5566
FCHL,2025-10-08,0.568,0.568,0.5112,0.5262
FCHL,2025-10-09,0.5309,0.545599,0.5152,0.529
FCHL,2025-10-10,0.529,0.533999,0.5011,0.5013
FCHL,2025-10-13,0.5,0.51,0.491,0.5024
FCHL,2025-10-14,0.5,0.5045,0.4793,0.4899
FCHL,2025-10-15,0.49,0.51,0.487,0.4878
FCHL,2025-10-16,0.48,0.5021,0.4406,0.4459
FCHL,2025-10-17,0.4449,0.47,0.428499,0.4342
FCHL,2025-10-20,0.4342,0.4932,0.4342,0.4824
FCHL,2025-10-21,0.488,0.488,0.4311,0.4571
FCHL,2025-10-22,0.47405,0.48,0.432,0.4591
FCHL,2025-10-23,0.46,0.4865,0.4436,0.465
FCHL,2025-10-24,0.466,0.468,0.4458,0.448
FCHL,2025-10-27,0.45,0.4823,0.4323,0.4372
FCHL,2025-10-28,0.4383,0.4747,0.4294,0.4733
FCHL,2025-10-29,0.464,0.52,0.4569,0.51075
FCHL,2025-10-30,0.4901,0.5058,0.4704,0.4784
FCHL,2025-10-31,0.48,0.483,0.46,0.4652
FCHL,2025-11-03,0.4985,0.4985,0.451,0.4587
FCHL,2025-11-04,0.449,0.4699,0.41,0.4108
FCHL,2025-11-05,0.4119,0.425,0.4005,0.4049
FCHL,2025-11-06,0.4004,0.43,0.4004,0.4215
FCHL,2025-11-07,0.4255,0.4255,0.4013,0.41415
FCHL,2025-11-10,0.4128,0.42,0.3923,0.42
FCHL,2025-11-11,0.4166,0.419817,0.363,0.3833
FCHL,2025-11-12,0.3791,0.39,0.3643,0.3665
FCHL,2025-11-13,0.364,0.3777,0.3504,0.3522
FCHL,2025-11-14,0.3535,0.36255,0.3504,0.3507
FCHL,2025-11-17,0.355,0.355,0.34,0.3475
FCHL,2025-11-18,0.3401,0.3549,0.3319,0.3508
FCHL,2025-11-19,0.3396,0.41,0.3396,0.3515
FCHL,2025-11-20,0.3665,0.3817,0.343,0.343
FCHL,2025-11-21,0.338,0.3722,0.3355,0.361
FCHL,2025-11-24,0.38,0.3802,0.3501,0.3513
FCHL,2025-11-25,0.37,0.37,0.3501,0.356099
FCHL,2025-11-26,0.3748,0.3765,0.345,0.3492
FCHL,2025-11-28,0.367,0.368099,0.3512,0.3638
FCHL,2025-12-01,0.36,0.36,0.3512,0.3536
FCHL,2025-12-02,0.3631,0.3631,0.3403,0.3404
FCHL,2025-12-03,0.3454,0.3454,0.3323,0.344
FCHL,2025-12-04,0.3355,0.34401,0.3355,0.3419
FCHL,2025-12-05,0.3409,0.3578,0.334,0.3407
FCHL,2025-12-08,0.3407,0.35105,0.3329,0.3361
FCHL,2025-12-09,0.3328,0.342,0.328,0.331
FCHL,2025-12-10,0.3302,0.3311,0.311,0.3219
FCHL,2025-12-11,0.336,0.3498,0.3198,0.3488
FCHL,2025-12-12,0.3417,0.3469,0.3236,0.3283
FCHL,2025-12-15,0.3269,0.3362,0.2988,0.2988
FCHL,2025-12-16,0.2898,0.2988,0.2801,0.283
FCHL,2025-12-17,0.2881,0.2987,0.273,0.2775
FCHL,2025-12-18,0.275,0.278,0.2726,0.278
FCHL,2025-12-19,0.2739,0.2828,0.2739,0.2753
FCHL,2025-12-22,0.27,0.28,0.2534,0.2704
FCHL,2025-12-23,0.2712,0.2712,0.2551,0.2564
FCHL,2025-12-24,0.251,0.2917,0.2505,0.2806
FCHL,2025-12-26,0.3,0.322,0.2801,0.2918
FCHL,2025-12-29,0.3086,0.3086,0.2503,0.2567
FCHL,2025-12-30,0.251,0.2571,0.2351,0.2483
FCHL,2025-12-31,0.2407,0.2561,0.2313,0.2313
FCHL,2026-01-02,0.258,0.258,0.2411,0.2516
FCHL,2026-01-05,0.2526,0.279999,0.2524,0.25955
FCHL,2026-01-06,0.2618,0.276,0.2511,0.2622
FCHL,2026-01-07,0.2613,0.2915,0.2601,0.2849
FCHL,2026-01-08,0.2796,0.2842,0.2666,0.2793
FCHL,2026-01-09,0.2817,0.295,0.2716,0.2716
FCHL,2026-01-12,0.28415,0.2878,0.271,0.2792
FCHL,2026-01-13,0.286701,0.291,0.265,0.265
FCHL,2026-01-14,0.2682,0.2823,0.2583,0.2663
FCHL,2026-01-15,0.2589,0.284499,0.2566,0.2713
FCHL,2026-01-16,0.28,0.28,0.25,0.2527
FCHL,2026-01-20,0.2511,0.2665,0.2511,0.2558
FCHL,2026-01-21,0.2601,0.27,0.2416,0.2416
FCHL,2026-01-22,0.249,0.2525,0.21931,0.237
FCHL,2026-01-23,0.2338,0.2511,0.2323,0.2326
FCHL,2026-01-26,0.2408,0.245,0.2401,0.2401
FCHL,2026-01-27,0.26,0.26,0.2364,0.24055
FCHL,2026-01-28,0.25,0.25,0.23,0.2315
FCHL,2026-01-29,0.2348,0.28,0.217,0.2671
FCHL,2026-01-30,0.2529,0.2944,0.2303,0.2613
FCHL,2026-02-02,0.264,0.27,0.2364,0.2428
