ticker,date,open,high,low,close
AGRZ,2025-10-01,4.0,4.5,2.81,3.12
AGRZ,2025-10-02,2.92,3.16,2.52,2.85
AGRZ,2025-10-03,2.72,3.0,2.65,2.77
AGRZ,2025-10-06,2.96,3.2809,2.8504,3.035
AGRZ,2025-10-07,3.1695,5.13,3.1695,4.31
AGRZ,2025-10-08,4.29,6.3,4.2,5.45
AGRZ,2025-10-09,5.99,5.99,4.0185,4.26
AGRZ,2025-10-10,4.47,6.3,4.3325,5.69
AGRZ,2025-10-13,5.64,6.1,4.6801,4.84
AGRZ,2025-10-14,4.59,5.77,4.56,5.23
AGRZ,2025-10-15,5.39,5.39,4.44,4.47
AGRZ,2025-10-16,4.57,6.12,4.57,4.92
AGRZ,2025-10-17,4.95,5.26,4.69,4.83
AGRZ,2025-10-20,4.92,5.145,4.64,4.88
AGRZ,2025-10-21,4.75,7.2,4.53,6.23
AGRZ,2025-10-22,6.43,6.4556,5.58,6.03
AGRZ,2025-10-23,5.95,5.95,4.7,4.97
AGRZ,2025-10-24,5.1,5.335,4.84,5.03
AGRZ,2025-10-27,4.96,5.01,4.55,4.95
AGRZ,2025-10-28,5.14,5.14,4.441,4.81
AGRZ,2025-10-29,4.96,4.96,4.44,4.713
AGRZ,2025-10-30,4.59,4.59,4.0,4.44
AGRZ,2025-10-31,4.063,4.49,3.87,3.88
AGRZ,2025-11-03,3.87,4.0,3.37,3.49
AGRZ,2025-11-04,3.48,3.74,2.08,2.39
AGRZ,2025-11-05,2.51,3.07,2.4,2.89
AGRZ,2025-11-06,2.7,3.01,2.52,2.68
AGRZ,2025-11-07,2.7401,2.8,2.4,2.58
AGRZ,2025-11-10,2.59,2.805,2.1,2.24
AGRZ,2025-11-11,2.17,2.7391,2.11,2.35
AGRZ,2025-11-12,2.35,2.805,2.35,2.74
AGRZ,2025-11-13,2.9,2.9,2.42,2.52
AGRZ,2025-11-14,2.47,2.52,1.85,1.91
AGRZ,2025-11-17,2.08,2.4,1.93,2.3299
AGRZ,2025-11-18,2.28,2.32,2.06,2.08
AGRZ,2025-11-19,2.23,2.249,1.9513,1.96
AGRZ,2025-11-20,2.0,2.15,1.83,1.85
AGRZ,2025-11-21,2.05,2.54,1.92,2.12
AGRZ,2025-11-24,2.35,3.2999,2.15,2.89
AGRZ,2025-11-25,3.0,3.6889,2.95,3.42
AGRZ,2025-11-26,3.52,4.0,3.15,3.84
AGRZ,2025-11-28,3.95,4.3,3.7,4.2
AGRZ,2025-12-01,4.18,5.2839,3.9,3.99
AGRZ,2025-12-02,4.11,4.5,3.46,3.66
AGRZ,2025-12-03,4.1,4.3174,1.99,2.43
AGRZ,2025-12-04,2.36,3.0,2.315,2.7
AGRZ,2025-12-05,2.67,2.95,2.4,2.45
AGRZ,2025-12-08,2.47,2.6,2.19,2.37
AGRZ,2025-12-09,2.3,2.4,2.1,2.11
AGRZ,2025-12-10,2.14,2.36,2.11,2.25
AGRZ,2025-12-11,2.24,2.278,2.11,2.2
AGRZ,2025-12-12,2.16,2.35,2.06,2.06
AGRZ,2025-12-15,2.16,2.2479,1.92,1.94
AGRZ,2025-12-16,2.03,2.316,1.9462,2.15
AGRZ,2025-12-17,2.2684,2.36,2.14,2.14
AGRZ,2025-12-18,2.24,2.25,2.0687,2.14
AGRZ,2025-12-19,2.14,2.165,1.9,1.92
AGRZ,2025-12-22,2.01,2.07,1.83,1.83
AGRZ,2025-12-23,1.7,1.71,1.2272,1.3
AGRZ,2025-12-24,1.3,1.3748,0.55,1.04
AGRZ,2025-12-26,1.03,1.1222,0.78,0.7996
AGRZ,2025-12-29,0.799,0.986,0.755,0.857
AGRZ,2025-12-30,0.85,1.21,0.85,1.12
AGRZ,2025-12-31,1.18,1.1955,0.695,0.77
AGRZ,2026-01-02,0.794,0.9466,0.7767,0.8208
AGRZ,2026-01-05,0.8297,0.875,0.8051,0.85405
AGRZ,2026-01-06,0.84,0.8499,0.7643,0.7643
AGRZ,2026-01-07,0.7588,0.7764,0.652,0.68
AGRZ,2026-01-08,0.66,0.66,0.5432,0.5738
AGRZ,2026-01-09,0.578,0.621,0.578,0.6
AGRZ,2026-01-12,0.617,0.648,0.53,0.53
AGRZ,2026-01-13,0.543,0.543,0.4801,0.502
AGRZ,2026-01-14,0.4869,0.535,0.4869,0.5217
AGRZ,2026-01-15,0.5189,0.539,0.5042,0.5042
AGRZ,2026-01-16,0.52,0.5777,0.52,0.54
AGRZ,2026-01-20,0.55,0.575,0.4827,0.4999
AGRZ,2026-01-21,0.5206,0.5206,0.461,0.4705
AGRZ,2026-01-22,0.484999,0.499999,0.422,0.429
AGRZ,2026-01-23,0.45,0.4698,0.4221,0.425
AGRZ,2026-01-26,0.427,0.4586,0.4103,0.4103
AGRZ,2026-01-27,0.4107,0.4473,0.4015,0.4109
AGRZ,2026-01-28,0.44,0.44,0.3919,0.4113
AGRZ,2026-01-29,0.425,0.425,0.3803,0.40545
AGRZ,2026-01-30,0.4013,0.54,0.4013,0.4415
AGRZ,2026-02-02,0.46,0.62,0.4559,0.589899
